,0,1,2,3,4,5
Sample1006,0.04865160605460311,0.028855772141193635,0.0798788368941649,0.17192178148841988,0.040431415928293926,0.6302605874933246
Sample1023,0.3148643683859028,0.06565825405379615,9.99999277485638e-07,0.5963334229937488,0.02184036268127492,0.0013025918859998211
Sample118,0.5558830727584133,0.07192095859386123,9.999990000009998e-07,0.3659216464396986,0.004142502209003282,0.00213082000002349
Sample120,9.99998215713544e-07,0.6304906692043611,0.0007543833303396805,0.29797968813997017,0.0707732593288977,9.99998215713544e-07
Sample127,9.999980579657857e-07,0.009578953016506056,9.999980579657857e-07,0.9827707776019428,0.007588058726623786,6.0210658811475576e-05
Sample134,0.4158728958698865,9.999980122260267e-07,9.999980122260267e-07,0.5714691364422188,0.012410764161749072,0.00024520353012124144
Sample177,9.999980077486067e-07,0.5800023934716821,9.999980077486067e-07,0.3675964798517225,0.05239648752060518,2.6391599745992927e-06
Sample215,0.46100526457062324,9.999980394725389e-07,0.0002809391429794462,0.4846218019242972,0.05408999436602114,9.999980394725389e-07
Sample230,0.20716238272258353,0.04083868045701402,0.06487343981461431,0.6704137926708376,0.016710704335681257,9.999992693378276e-07
Sample234,0.34181256829513873,9.999972787360928e-07,9.999972787360928e-07,0.6581772322776214,7.1994354039368945e-06,9.999972787360928e-07
Sample244,0.274026971960008,0.04207855347543028,9.999980694711134e-07,0.6828404450875486,0.001052029480874219,9.999980694711134e-07
Sample261,0.001844631851196546,0.00014332297076095752,0.0001588908863726149,0.9965313197913986,0.0013208345012713208,9.999990000014786e-07
Sample263,0.025801610183868815,9.999991009522536e-07,0.000898433566710351,0.16950529539997408,0.00360434138264941,0.8001893194676963
Sample290,0.08078016837963661,0.045637651529650686,0.016252805684853457,0.8464583547958906,0.010300435165817124,0.0005705844441514463
Sample302,0.20242834090118914,0.10395014910262612,0.025505673043931653,0.6573749527021352,0.00656353555169686,0.004177348698420998
Sample321,0.5002201340989182,9.999980000302326e-07,9.999980000302326e-07,0.49647897997394114,0.003249580890415798,4.930504072486275e-05
Sample330,0.20521336618172906,0.04563865576683678,1.405475502704823e-05,0.7491319233004072,9.999980000438616e-07,9.999980000438616e-07
