Sample,Time,Type,Reactor,Depth,Port
S274,02-Jun,Phase 1,R2,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S274_R1.fastq,http://admetareads.s3.climb.ac.uk/S274_R2.fastq
S276,02-Jun,Phase 1,R3,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S276_R1.fastq,http://admetareads.s3.climb.ac.uk/S276_R2.fastq
S279,02-Jun,Phase 1,R3,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S279_R1.fastq,http://admetareads.s3.climb.ac.uk/S279_R2.fastq
S341,17-Aug,Phase 3,R1,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S341_R1.fastq,http://admetareads.s3.climb.ac.uk/S341_R2.fastq
S344,17-Aug,Phase 3,R1,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S344_R1.fastq,http://admetareads.s3.climb.ac.uk/S344_R2.fastq
S346,17-Aug,Phase 3,R2,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S346_R1.fastq,http://admetareads.s3.climb.ac.uk/S346_R2.fastq
S349,17-Aug,Phase 3,R2,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S349_R1.fastq,http://admetareads.s3.climb.ac.uk/S349_R2.fastq
S351,17-Aug,Phase 3,R3,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S351_R1.fastq,http://admetareads.s3.climb.ac.uk/S351_R2.fastq
S354,17-Aug,Phase 3,R3,Top,P5,http://admetareads.s3.climb.ac.uk/S354_R1.fastq,http://admetareads.s3.climb.ac.uk/S354_R2.fastq
S399,16-Sep,Phase 4,R1,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S399_R1.fastq,http://admetareads.s3.climb.ac.uk/S399_R2.fastq
S402,16-Sep,Phase 4,R1,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S402_R1.fastq,http://admetareads.s3.climb.ac.uk/S402_R2.fastq
S404,16-Sep,Phase 4,R2,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S404_R1.fastq,http://admetareads.s3.climb.ac.uk/S404_R2.fastq
S408,16-Sep,Phase 4,R2,Top,P5/P6,http://admetareads.s3.climb.ac.uk/S408_R1.fastq,http://admetareads.s3.climb.ac.uk/S408_R2.fastq
S410,16-Sep,Phase 4,R3,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S410_R1.fastq,http://admetareads.s3.climb.ac.uk/S410_R2.fastq
S413,16-Sep,Phase 4,R3,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S413_R1.fastq,http://admetareads.s3.climb.ac.uk/S413_R2.fastq
S383,23-Sep,Mig-wk0,R1,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S383_R1.fastq,http://admetareads.s3.climb.ac.uk/S383_R2.fastq
S386,23-Sep,Mig-wk0,R1,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S386_R1.fastq,http://admetareads.s3.climb.ac.uk/S386_R2.fastq
S388,23-Sep,Mig-wk0,R2,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S388_R1.fastq,http://admetareads.s3.climb.ac.uk/S388_R2.fastq
S392,23-Sep,Mig-wk0,R2,Top,P5/P6,http://admetareads.s3.climb.ac.uk/S392_R1.fastq,http://admetareads.s3.climb.ac.uk/S392_R2.fastq
S394,23-Sep,Mig-wk0,R3,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S394_R1.fastq,http://admetareads.s3.climb.ac.uk/S394_R2.fastq
S397,23-Sep,Mig-wk0,R3,Top,P5/P6,http://admetareads.s3.climb.ac.uk/S397_R1.fastq,http://admetareads.s3.climb.ac.uk/S397_R2.fastq
S430,01-Oct,Mig-wk1,R1,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S430_R1.fastq,http://admetareads.s3.climb.ac.uk/S430_R2.fastq
S433,01-Oct,Mig-wk1,R1,Top,P4/P5,http://admetareads.s3.climb.ac.uk/S433_R1.fastq,http://admetareads.s3.climb.ac.uk/S433_R2.fastq
S435,01-Oct,Mig-wk1,R2,Bottom,P1/P2,http://admetareads.s3.climb.ac.uk/S435_R1.fastq,http://admetareads.s3.climb.ac.uk/S435_R2.fastq
